epoch,mid_time,mid_time_err,tra_or_occ
-1640,2454515.5177699304,0.0009350424475440817,tra
-1408,2454769.2864404037,0.0007916101950512181,occ
-1404,2454773.6520626554,0.0014435265630947092,occ
-1346,2454836.399338537,0.0020658761484134967,tra
-1342,2454840.765077401,0.000929347056566663,tra
-1067,2455140.90972875,0.0011630364720415737,tra
-1061,2455147.458340449,0.0010486085777431868,tra
-1046,2455163.8298696755,0.0007833443234833373,tra
-1038,2455172.5613519056,0.0010660402272944652,tra
-1018,2455194.9343781294,0.0012036783775221727,occ
-1011,2455202.5742112864,0.0009269013828797356,occ
-1004,2455209.6701509925,0.0012972981983806683,tra
-1003,2455210.761586247,0.001779702330902415,tra
-985,2455230.4074206445,0.0013244382774928996,tra
-963,2455254.418995483,0.0018107060843656575,tra
-743,2455494.534677594,0.0014823105956396035,tra
-739,2455498.900415622,0.0004966719110367803,tra
-729,2455509.8147603567,0.0013220639490625413,tra
-728,2455510.906194804,0.0011978443193324554,tra
-722,2455517.990274096,0.0006108647738453888,occ
-721,2455518.546235793,0.0006381733784270268,tra
-699,2455542.557791566,0.0011084385590253718,tra
-699,2455542.557791566,0.0017755897389867721,tra
-677,2455566.5693447655,0.0016502424919150117,tra
-668,2455576.9261833588,0.0005392700498521507,occ
-658,2455587.8402424036,0.0011886956276597434,occ
-655,2455590.580895245,0.0010407957798733332,tra
-648,2455598.22093344,0.0011084026486088186,tra
-646,2455600.403801442,0.000611441915413964,tra
-645,2455601.495235434,0.00034046642290184754,tra
-643,2455603.6781033995,0.0017618406184686914,tra
-625,2455623.32391398,0.0010691237816971464,tra
-393,2455876.536373259,0.0013589295072983481,tra
-383,2455887.4506932967,0.0009311461139145532,tra
-382,2455888.542125249,0.0008489988310102564,tra
-380,2455890.7249891255,0.0011637659887442163,tra
-368,2455903.8221715926,0.0006497476995503557,tra
-362,2455910.896713164,0.0016397883634185993,occ
-353,2455920.1936477427,0.0006215829430382583,tra
-350,2455923.467942712,0.0017378249510357838,tra
-350,2455923.9936127644,0.000951027295874352,occ
-329,2455946.388005023,0.0014874689123248784,tra
-329,2455946.9131904533,0.0014394349979702755,occ
-328,2455947.4794364525,0.0008635639979125317,tra
-327,2455948.5708678723,0.0007355390837243915,tra
-324,2455951.8451620718,0.0010028121752809294,tra
-323,2455952.9365934515,0.001395981012384728,tra
-317,2455959.4851815174,0.0012602095274736173,tra
-316,2455960.5766128264,0.002103057551065456,tra
-307,2455970.3994941516,0.0019858597884383784,tra
-306,2455971.490925359,0.0010698051989547876,tra
-296,2455982.4052368687,0.0014968548405040311,tra
-295,2455983.496667963,0.0017684594741960904,tra
-294,2455984.588099047,0.0012923167429635355,tra
-293,2455985.679530121,0.0010491672256142007,tra
-283,2455996.5938402843,0.0004454759342226168,tra
-275,2456005.325287661,0.0007248469911904201,tra
-274,2456006.416718536,0.0007946073945606671,tra
-55,2456245.4398080176,0.001503985693080544,tra
-51,2456249.8055211995,0.0013450992275531358,tra
-29,2456273.8169400673,0.0007213898286408529,tra
-21,2456282.5483635766,0.000936790717625848,tra
-19,2456284.731219325,0.00034742055980361804,tra
-7,2456297.8283527307,0.0013343633942532627,tra
-3,2456302.1940634516,0.0012180679948033662,tra
0,2456305.468346355,0.0007998949062509554,tra
13,2456319.6569042457,0.00104452737328006,tra
21,2456328.388323384,0.0012321819825315493,tra
22,2456329.4797507166,0.0010603019400248707,tra
274,2456604.519001183,0.000932563712198858,tra
275,2456605.6104249866,0.0013319128871246714,tra
276,2456606.701848775,0.0012208357966897554,tra
277,2456607.793272549,0.0014462500269608162,tra
297,2456629.6217449624,0.0006798544924036035,tra
298,2456630.7131684297,0.0008399460686714733,tra
305,2456638.8686231873,0.0005054629611992042,occ
308,2456642.1428731815,0.0012644753472035532,occ
320,2456654.7244809945,0.0013573105694261749,tra
324,2456659.0901734238,0.001395809360828139,tra
327,2456662.3644425916,0.0014504971316578906,tra
328,2456663.455865618,0.0008588750722181526,tra
329,2456664.547288629,0.0002769147169788097,tra
338,2456674.3700950695,0.000815546576446077,tra
341,2456677.644363617,0.0012133188120954325,tra
351,2456688.558591148,0.0016253275773313427,tra
356,2456694.0157043585,0.0018729302474959296,tra
365,2456703.8385072034,0.000715843460412502,tra
372,2456711.4784641406,0.0004904406263268004,tra
379,2456719.11842035,0.0017987115150109334,tra
381,2456721.301264847,0.0010463557195700404,tra
382,2456722.3926870734,0.0012497875990924833,tra
624,2456986.51642536,0.0013865565318473662,tra
646,2457010.527630708,0.0008423901926313537,tra
648,2457012.710467199,0.0008014881858015824,tra
678,2457045.4530074014,0.0014738599617489326,tra
679,2457046.544425177,0.0013986794975468539,tra
691,2457059.6414373266,0.0011744435621596984,tra
692,2457060.7328549093,0.0007630256430314431,tra
698,2457067.281360093,0.0014840221847341488,tra
699,2457068.372777572,0.0008590402980711331,tra
731,2457103.2981290724,0.0021747714695529367,tra
953,2457345.5923459963,0.0013603950674739257,tra
994,2457390.340301199,0.0007139152649814121,tra
995,2457391.4317144547,0.0008915163249930695,tra
1027,2457426.356931567,0.0009587940049561192,tra
1028,2457427.448344382,0.0011476928762931514,tra
1050,2457451.459422957,0.0015002020201046776,tra
1252,2457671.92449481,0.0008259010006313454,tra
1270,2457691.569873577,0.0018709199950694305,tra
1281,2457703.575381029,0.0010219016808402568,tra
1284,2457706.8496101005,0.00022911812395246195,tra
1302,2457726.4949824414,0.0009869989932319312,tra
1303,2457727.5863919123,0.0019062226713767727,tra
1338,2457765.785716585,0.0003748403709564743,tra
1339,2457766.8771256693,0.001157546059536778,tra
1341,2457769.5840516686,0.001081137496678086,occ
1344,2457772.334170935,0.0020159048224362296,tra
1345,2457773.425579957,0.0005849338477546496,tra
1348,2457776.6998069594,0.0015057186957944215,tra
1352,2457781.0654428164,0.001019956732576686,tra
1352,2457781.0654428164,0.0019377937191096685,tra
1357,2457786.5224874048,0.001479530808192006,tra
1359,2457788.7053051675,0.0013504887069076745,tra
1370,2457800.7108021285,0.001294154732300875,tra
1377,2457808.3506631884,0.0009644032696830116,tra
1378,2457809.4420718704,0.0015159268991006116,tra
1379,2457810.5334805427,0.0006884727196200123,tra
1397,2457830.704200549,0.001567929090173072,occ
1577,2458026.632213651,0.001514808638787327,tra
